harga_index,penjualan_level,period_status,action,reward
0,0,0,0,6000
0,0,0,1,7000
1,0,0,1,14000
2,0,0,-1,23000
1,0,0,-1,11000
0,0,0,0,20000
0,0,0,1,24000
2,0,0,-1,25000
0,0,0,0,24000
0,0,0,0,28000
0,0,0,0,18000
0,0,0,0,24000
0,0,0,1,21000
2,0,0,1,26000
3,0,0,-1,33000
0,0,0,0,21000
0,3,0,0,23000
0,1,0,0,27000
0,3,0,1,39000
3,0,0,-1,41000
0,0,0,0,18000
0,0,0,0,18000
0,0,0,0,24000
0,0,0,1,21000
2,0,0,-1,24000
0,0,0,0,21000
0,0,0,0,25000
0,0,0,0,24000
0,0,0,0,30000
0,0,0,0,22000
0,0,0,0,24000
0,0,0,0,8000
0,0,0,0,10000
0,0,0,0,5000
0,0,0,0,7000
0,0,0,1,6000
1,0,0,0,18000
1,0,0,-1,12000
0,0,0,0,10000
0,0,0,0,9000
0,0,0,0,8000
0,0,0,0,7000
0,0,0,1,25000
1,0,0,1,14000
4,0,0,-1,43000
0,0,0,1,24000
1,0,0,-1,10000
0,0,0,0,20000
0,0,0,0,28000
0,0,0,0,20000
0,0,0,1,24000
1,0,0,-1,12000
0,0,0,1,21000
1,0,0,-1,20000
0,0,0,1,24000
1,0,0,0,12000
1,0,0,1,11000
4,0,0,-1,35000
0,0,0,0,24000
0,0,0,1,20000
1,0,0,0,17000
1,0,0,0,13000
1,0,0,0,15000
1,0,0,0,12000
1,0,0,1,10000
2,0,0,-1,31000
0,0,0,1,15000
4,0,0,-1,43000
1,0,0,0,12000
1,0,0,-1,14000
0,4,0,1,46500
1,0,0,-1,12000
0,2,0,0,34000
0,0,0,1,10000
1,0,0,-1,15000
0,0,0,0,9000
0,0,0,0,9000
0,0,0,0,9000
0,0,0,1,7000
4,0,0,-1,43000
0,0,0,1,8000
1,0,0,-1,20000
0,0,0,1,8000
2,0,0,-1,26000
0,0,0,0,6000
0,0,0,0,25000
0,0,0,1,20000
1,0,0,-1,14000
0,0,0,0,20000
0,1,0,0,33000
0,0,0,1,24000
4,0,0,-1,43000
3,0,0,-1,34000
0,0,0,1,21000
3,0,0,-1,36000
2,0,0,1,30000
4,0,0,-1,52000
1,0,0,1,14000
2,0,0,-1,25000
0,0,0,0,28000
0,0,0,0,24000
0,0,0,0,21000
